num_links,num_caps_words,freq_spam_words,length,has_attachment,exclamation_marks,is_reply,label
12,15,0.35,120,0,8,0,1
0,1,0.02,450,1,0,1,0
8,10,0.28,95,0,6,0,1
1,0,0.01,300,0,0,1,0
15,20,0.40,80,0,10,0,1
0,2,0.03,520,1,1,1,0
10,18,0.38,60,0,9,0,1
2,1,0.00,400,0,0,0,0
0,0,0.01,350,0,0,1,0
9,12,0.30,110,0,7,0,1
1,3,0.04,280,1,1,0,0
14,22,0.42,70,0,11,0,1
0,1,0.02,600,0,0,1,0
6,8,0.25,130,0,5,0,1
2,0,0.01,310,1,0,1,0
11,16,0.36,90,0,8,0,1
0,0,0.00,480,0,0,0,0
3,2,0.05,260,0,1,1,0
13,19,0.39,75,0,9,0,1
1,1,0.03,550,1,0,1,0
7,11,0.27,140,0,6,0,1
0,2,0.01,330,0,0,0,0
16,25,0.45,55,0,12,0,1
1,0,0.02,410,1,1,1,0
5,7,0.22,150,0,4,0,1
0,1,0.00,370,0,0,1,0
10,14,0.33,100,0,7,0,1
2,3,0.04,290,1,0,0,0
8,13,0.31,85,0,6,0,1
0,0,0.01,500,0,0,1,0
3,1,0.03,270,0,1,0,0
12,17,0.37,65,0,10,0,1
1,2,0.02,430,1,0,1,0
4,5,0.18,200,0,3,0,1
0,0,0.01,390,0,0,0,0
14,21,0.41,72,0,11,0,1
2,1,0.00,340,1,0,1,0
9,10,0.29,115,0,7,0,1
0,3,0.03,460,0,1,0,0
11,15,0.34,88,0,8,0,1
1,0,0.02,530,1,0,1,0
7,9,0.26,125,0,5,0,1
0,1,0.01,360,0,0,0,0
13,18,0.38,78,0,9,0,1
2,2,0.04,310,1,1,0,0
6,8,0.24,145,0,5,0,1
0,0,0.00,490,0,0,1,0
15,23,0.43,58,0,11,0,1
1,1,0.03,420,1,0,1,0
3,2,0.05,250,0,2,0,0
